time_utc,text,likes,retweets,time_local
2025-10-27T00:04:23.000Z,"@GavinNewsom Keep telling yourself that.  While you're playing with your hair gel, perhaps you could...",2,0,2025-10-26 17:04:23-07:00
2025-10-26T19:32:20.000Z,"Just anecdotal but in the Eaton Fire, everyone I know who had #USAA got paid EVERYTHING right away. ...",3,0,2025-10-26 12:32:20-07:00
2025-10-26T15:50:37.000Z,Charity event for the victims of the Eaton fire I got to meet Todd McFarlane the President of Image ...,0,0,2025-10-26 08:50:37-07:00
2025-10-26T15:30:14.000Z,Charity event for the victims of the Eaton fire I got to meet Todd McFarlane the President of Image ...,0,0,2025-10-26 08:30:14-07:00
2025-10-26T13:29:54.000Z,"@GavinNewsom @allthesmokeprod How are the Palisades &amp; Eaton fire victims doing, Gav? How’s the r...",0,0,2025-10-26 06:29:54-07:00
2025-10-26T09:05:05.000Z,"@MayorOfLA California politicians are liars, whores, and thieves.

No one from the Eaton Fire, (L.A....",0,0,2025-10-26 02:05:05-07:00
2025-10-26T02:00:02.000Z,A micro farm in Altadena that burned in the Eaton Fire has reopened to the community for visitors to...,6,2,2025-10-25 19:00:02-07:00
2025-10-26T00:00:13.000Z,"Leadership Pasadena Inaugural Impact Awards to Honor Heroes of Eaton Fire Crisis 

Pasadena will hon...",2,0,2025-10-25 17:00:13-07:00
2025-10-25T22:08:24.000Z,"We begin today’s hop in Altadena at @MidwickManor! This year, Midwick Manor stands as more than a Ha...",14,5,2025-10-25 15:08:24-07:00
2025-10-25T21:03:09.000Z,"""Nearly ten months after the Eaton Fire destroyed thousands of homes in Altadena, displaced families...",17,2,2025-10-25 14:03:09-07:00
2025-10-25T20:49:31.000Z,"Recruitment Event for Fire Impacted Workers – Oct. 30 

Thursday, October 30 | 3:00 – 7:00 PM 
The E...",1,0,2025-10-25 13:49:31-07:00
2025-10-25T18:48:17.000Z,Opinion: Kathryn Barger: Rebuild after Eaton fire will take much more than willpower https://t.co/fH...,0,0,2025-10-25 11:48:17-07:00
2025-10-25T18:27:54.000Z,‘Holiday Light Up’ tradition to return to Pasadena’s Upper Hastings Ranch after devastating Eaton fi...,0,0,2025-10-25 11:27:54-07:00
2025-10-25T18:19:40.000Z,‘Holiday Light Up’ tradition to return to Pasadena’s Upper Hastings Ranch after devastating Eaton fi...,0,0,2025-10-25 11:19:40-07:00
2025-10-25T18:19:38.000Z,‘Holiday Light Up’ tradition to return to Pasadena’s Upper Hastings Ranch after devastating Eaton fi...,1,1,2025-10-25 11:19:38-07:00
2025-10-25T18:19:38.000Z,‘Holiday Light Up’ tradition to return to Pasadena’s Upper Hastings Ranch after devastating Eaton fi...,0,0,2025-10-25 11:19:38-07:00
2025-10-25T18:19:08.000Z,‘Holiday Light Up’ tradition to return to Pasadena’s Upper Hastings Ranch after devastating Eaton fi...,0,0,2025-10-25 11:19:08-07:00
2025-10-25T18:18:53.000Z,‘Holiday Light Up’ tradition to return to Pasadena’s Upper Hastings Ranch after devastating Eaton fi...,0,0,2025-10-25 11:18:53-07:00
2025-10-25T18:18:21.000Z,‘Holiday Light Up’ tradition to return to Pasadena’s Upper Hastings Ranch after devastating Eaton fi...,0,0,2025-10-25 11:18:21-07:00
2025-10-25T17:47:02.000Z,@SteveHiltonx https://t.co/m0ucoMN19u . Thousands of homeowners are homeless. They are asking for he...,0,1,2025-10-25 10:47:02-07:00
2025-10-25T17:19:06.000Z,Opinion: Kathryn Barger: Rebuild after Eaton fire will take much more than willpower https://t.co/t9...,0,0,2025-10-25 10:19:06-07:00
2025-10-25T16:36:22.000Z,THANK YOU to LAWRENCE from P Dot’s Comics and Collectables in Pasadena for HOSTING this AWESOME even...,159,15,2025-10-25 09:36:22-07:00
2025-10-25T16:19:42.000Z,@TonySeruga Do Palisades and Eaton fire victims  get the same  exemptions?...,0,0,2025-10-25 09:19:42-07:00
2025-10-25T16:01:37.000Z,"Free my 3 kids 
Pay up that 10k 
150k I’m donating to Palisades &amp; Eaton Fire &amp; 4 living kids...",0,0,2025-10-25 09:01:37-07:00
2025-10-25T16:00:43.000Z,Opinion: Kathryn Barger: Rebuild after Eaton fire will take much more than willpower https://t.co/U3...,0,0,2025-10-25 09:00:43-07:00
2025-10-25T15:46:05.000Z,Opinion: Kathryn Barger: Rebuild after Eaton fire will take much more than willpower https://t.co/ND...,2,0,2025-10-25 08:46:05-07:00
2025-10-25T15:02:26.000Z,Opinion: Kathryn Barger: Rebuild after Eaton fire will take much more than willpower https://t.co/Ak...,1,1,2025-10-25 08:02:26-07:00
2025-10-25T13:50:02.000Z,Opinion: Kathryn Barger: Rebuild after Eaton fire will take much more than willpower https://t.co/4e...,0,0,2025-10-25 06:50:02-07:00
2025-10-25T13:33:00.000Z,Kathryn Barger: Rebuild after Eaton fire will take much more than willpower https://t.co/zpRJZbGFxZ...,0,0,2025-10-25 06:33:00-07:00
2025-10-25T09:52:27.000Z,"The artwork is particularly poignant now, as it transports us to a time before the Eaton Fire, when ...",2,2,2025-10-25 02:52:27-07:00
2025-10-25T05:17:10.000Z,"@SimplyBitcoin I lost my home in the Eaton fire, but one thing is true: Bitcoin doesn't burn....",1,0,2025-10-24 22:17:10-07:00
2025-10-25T01:44:45.000Z,@RichardGrenell @GavinNewsom @POTUS please stop this now. Newscum does  not represent Californians. ...,2,0,2025-10-24 18:44:45-07:00
2025-10-25T00:38:53.000Z,Flare up on the Eaton Fire. https://t.co/bXsLHG0zy1...,1,1,2025-10-24 17:38:53-07:00
2025-10-25T00:36:31.000Z,Burned out cabin from the Eaton   fire smoldering  flare up https://t.co/PHIOWdalhr...,3,0,2025-10-24 17:36:31-07:00
2025-10-24T22:05:40.000Z,Eaton Fire was caused by SCE’s energized power lines. If it were a bare mineral soil circle under th...,113,18,2025-10-24 15:05:40-07:00
2025-10-24T21:00:16.000Z,"Altadena Cookie Co. Marks Grand Reopening With Ribbon Cutting 

Altadena Cookie Co. will celebrate i...",2,0,2025-10-24 14:00:16-07:00
2025-10-24T20:51:07.000Z,Ted doesn’t gaf about the people who lost their homes/everything in the Palisades/Eaton fire. Look h...,1,0,2025-10-24 13:51:07-07:00
2025-10-24T19:28:27.000Z,A hidden Alpine retreat destroyed in Eaton fire rises from the ashes for Oktoberfest. @latimes https...,3,1,2025-10-24 12:28:27-07:00
2025-10-24T19:19:30.000Z,@spencerpratt The Eaton Fire started in the state responsibility are. They ought to be careful what ...,24,4,2025-10-24 12:19:30-07:00
2025-10-24T19:12:33.000Z,"REMINDER—I'll be SIGNING at P Dot's Comics and Collectibles TOMORROW, Sat. Oct. 25th from 8am-4pm!
1...",84,9,2025-10-24 12:12:33-07:00
2025-10-24T19:00:28.000Z,"TEDxAltadena Event to Spotlight Post-Fire Resilience, Organizers Say 

A TEDx event scheduled for Su...",0,0,2025-10-24 12:00:28-07:00
2025-10-24T16:49:45.000Z,U.S. senators ramp up Palisades fire probe but give Eaton fire short shrift - Los Angeles Times http...,0,0,2025-10-24 09:49:45-07:00
2025-10-24T15:57:36.000Z,@GavinNewsom How many rebuilding permits have you and karen bass issued for the Palisades and Eaton ...,0,0,2025-10-24 08:57:36-07:00
2025-10-24T15:51:29.000Z,"@CAgovernor Are you looking at yourself in a mirror 🪞, while making this little speech?
 Example  PA...",1,0,2025-10-24 08:51:29-07:00
2025-10-24T14:30:08.000Z,"@MisterScarlett @hayde84513 @trackingdonald @GavinNewsom The Eaton Fire, which scorched areas near A...",0,0,2025-10-24 07:30:08-07:00
2025-10-24T14:16:33.000Z,"@SenateGOP @SenateDems FUCK THE PALISADES....DEFUND THE WEST LA VETERANS HOSPITAL....YESTERDAY!!!

U...",0,0,2025-10-24 07:16:33-07:00
